Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1994-005	Hamilton Family Transitional Program	"1631 Hayes St, San Francisco, CA 94117"	20	19	0	Hamilton Family Center	Lone Mountain/USF	5	"(37.7738266, -122.4432297)"	37.7738266	 -122.4432297
1994-006	Goodman 2 Art Complex	"1695 18th St, San Francisco, CA 94107"	29	5	0	Artspace Development Corporation	Potrero Hill	10	"(37.7619286, -122.39888)"	37.7619286	 -122.39888)
1994-007	Ashbury House	"212 Ashbury St, San Francisco, CA 94117"	1	0	3	Progress Foundation	Lone Mountain/USF	5	"(37.7734566, -122.4471893)"	37.7734566	 -122.4471893
1994-008	2300 Van Ness	"2300 Van Ness Ave, San Francisco, CA 94109"	22	21	0	"Asian, Inc."	Russian Hill	3	"(37.7969589, -122.4232712)"	37.7969589	 -122.4232712
1994-009	Magdalena Mora House	"2973 26th St, San Francisco, CA 94110"	2	2	0	Bernal Heights Neighborhood Center	Mission	9	"(37.7493706, -122.4095154)"	37.7493706	 -122.4095154
1994-010	Iroquois Hotel	"835 O'Farrell St, San Francisco, CA 94109"	74	74	0	Community Housing Partnership	Tenderloin	6	"(37.7848511, -122.418396)"	37.7848511	 -122.418396)
1994-011	479 Natoma	"479 Natoma St, San Francisco, CA 94103"	30	29	0	"Asian, Inc."	South of Market	6	"(37.7803612, -122.4069824)"	37.7803612	 -122.4069824
1994-012	Glenridge Apartments	"9 Berkeley Way, San Francisco, CA 94131"	275	273	0	Glenridge Apartments Residents' Council	Glen Park	8	"(37.7386856, -122.4380569)"	37.7386856	 -122.4380569
1994-013	The Rose	"125 6th St, San Francisco, CA 94103"	76	75	0	Mercy Housing California	South of Market	6	"(37.7808571, -122.4080582)"	37.7808571	 -122.4080582
1994-014	Planetree Housing Program	"152-154 Coleridge St, San Francisco, CA 94110"	14	11	0	HealthRight360	Bernal Heights	9	"(37.7435074, -122.4202576)"	37.7435074	 -122.4202576
1994-015	Maitri	"401 Duboce Ave, San Francisco, CA 94114"	15	0	15	Maitri	Castro/Upper Market	8	"(37.7691917, -122.4294281)"	37.7691917	 -122.4294281
1994-016	Diamond View Apartments	"173-204 Addison St, San Francisco, CA 94131"	58	58	0	Diamond View Residents' Association	Glen Park	8	"(37.7389145, -122.4332504)"	37.7389145	 -122.4332504
1994-017	International Hotel	"848 Kearny St, San Francisco, CA 94111"	105	104	0	Chinatown Community Development Center	Chinatown	3	"(37.7958374, -122.4044266)"	37.7958374	 -122.4044266
1995-008	Mary Elizabeth Inn	"1040 Bush St, San Francisco, CA 94109"	92	88	0	Mary Elizabeth Inn	Nob Hill	3	"(37.7897224, -122.4144897)"	37.7897224	 -122.4144897
1995-009	Lyric Hotel	"140 Jones St, San Francisco, CA 94102"	58	58	0	Conard House	Tenderloin	6	"(37.7826462, -122.4120712)"	37.7826462	 -122.4120712
1995-010	Walden Adolescent	"214 Haight St, San Francisco, CA 94102"	64	0	12	HealthRight360	Hayes Valley	5	"(37.7729416, -122.4261475)"	37.7729416	 -122.4261475
1995-011	Notre Dame Plaza	"347 Dolores St, San Francisco, CA 94110"	66	65	0	Mercy Housing California	Mission	8	"(37.7639008, -122.4254074)"	37.7639008	 -122.4254074
1995-012	Apollo Hotel	"420 Valencia St, San Francisco, CA 94103"	81	80	0	Mission Housing Development Corporation	Mission	8	"(37.7661209, -122.4223862)"	37.7661209	 -122.4223862
1995-013	Eddy Street Apartments (CATS)	"425 Eddy St, San Francisco, CA 94102"	25	25	0	"Community Awareness & Treatment Services, Inc."	Tenderloin	6	"(37.783432, -122.4146957)"	"37.783432,"	-122.4146957)
1995-014	Cameo Apartments	"481 Eddy St, San Francisco, CA 94102"	31	30	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7833481, -122.4155045)"	37.7833481	 -122.4155045
1995-015	Geraldine Johnson Manor	"5545 3rd St, San Francisco, CA 94124"	54	53	0	Bridge Housing / San Francisco Housing Development Corporation (Bayview Senior Housing)	Bayview Hunters Point	10	"(37.7270927, -122.3931198)"	37.7270927	 -122.3931198
1995-016	Monterey Boulevard Apartments	"403 Monterey Blvd, San Francisco, CA 94112"	4	4	0	Bernal Heights Neighborhood Center	West of Twin Peaks	7	"(37.7313881, -122.4445801)"	37.7313881	 -122.4445801
1995-017	Minna Park Family Housing	"529-539 Minna St, San Francisco, CA 94103"	26	25	0	Asian Neighborhood Design	South of Market	6	"(37.779789, -122.4088287)"	"37.779789,"	-122.4088287)
1995-018	Larkin St Assisted Care Program	"129 Hyde St, San Francisco, CA 94102"	12	12	0	Larkin Street Youth Services	Tenderloin	6	"(37.782032, -122.4159393)"	"37.782032,"	-122.4159393)
